#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01014882.1.p1  -          ABC_membrane         PF00664.26   6.8e-57  191.4   9.1   9.9e-57  190.9   9.1   1.2   1   0   0   1   1   1   1 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01011220.1.p1     -          ABC_membrane         PF00664.26   1.1e-56  190.8  38.1   1.4e-31  108.4  14.3   2.3   2   0   0   2   2   2   2 -
Scolopendra_viridis_GGNE01.transdecoder.pep_id_GGNE01000177.1.p1    -          ABC_membrane         PF00664.26   1.3e-56  190.5  31.8   6.2e-33  112.9  16.5   2.2   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01013750.1.p1     -          ABC_membrane         PF00664.26   2.3e-56  189.7  44.1   2.3e-34  117.6  14.1   2.7   2   1   1   3   3   3   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01008410.1.p1     -          ABC_membrane         PF00664.26   3.5e-56  189.1  27.8   1.3e-31  108.5   5.5   2.4   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010142.1.p1  -          ABC_membrane         PF00664.26   4.9e-55  185.3  38.8   9.8e-28   95.8  16.6   2.3   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010146.1.p1  -          ABC_membrane         PF00664.26   5.2e-55  185.3  38.8     1e-27   95.7  16.6   2.3   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010144.1.p1  -          ABC_membrane         PF00664.26   7.2e-55  184.8  39.8   9.6e-28   95.8  16.6   2.3   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010147.1.p1  -          ABC_membrane         PF00664.26   7.6e-55  184.7  39.8     1e-27   95.8  16.6   2.4   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043098.1.p1  -          ABC_membrane         PF00664.26   1.2e-54  184.1   3.8   1.6e-54  183.7   3.8   1.1   1   0   0   1   1   1   1 -
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01008474.1.p1 -          ABC_membrane         PF00664.26   1.4e-54  183.9   6.2   1.9e-54  183.4   6.2   1.1   1   0   0   1   1   1   1 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01026896.1.p1      -          ABC_membrane         PF00664.26   1.4e-53  180.6   9.6   1.8e-53  180.2   9.6   1.2   1   0   0   1   1   1   1 -
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01005968.1.p1      -          ABC_membrane         PF00664.26   7.3e-53  178.2  19.7   1.1e-52  177.7  19.7   1.2   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01039412.1.p1  -          ABC_membrane         PF00664.26   2.4e-51  173.2  27.2   8.3e-34  115.7   8.1   2.2   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024109.1.p1         -          ABC_tran             PF00005.30   2.7e-77  256.1   0.1   6.2e-39  131.9   0.0   2.5   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024110.1.p1         -          ABC_tran             PF00005.30   2.7e-77  256.1   0.1   6.2e-39  131.9   0.0   2.5   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024111.1.p1         -          ABC_tran             PF00005.30   2.7e-77  256.1   0.1   6.2e-39  131.9   0.0   2.5   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01003069.1.p1        -          ABC_tran             PF00005.30   2.7e-76  252.9   0.3   3.4e-37  126.3   0.0   2.4   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01009444.1.p1        -          ABC_tran             PF00005.30   3.2e-76  252.7   0.3   3.7e-37  126.2   0.0   2.4   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01004213.1.p1        -          ABC_tran             PF00005.30   3.2e-76  252.6   0.3   3.8e-37  126.1   0.0   2.4   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012554.1.p1        -          ABC_tran             PF00005.30   3.2e-76  252.6   0.3   3.8e-37  126.1   0.0   2.4   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01024005.1.p1     -          ABC_tran             PF00005.30   5.9e-72  238.8   0.1   8.1e-35  118.6   0.0   2.5   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01010895.1.p1        -          ABC_tran             PF00005.30   7.2e-62  206.2   0.0   1.1e-33  114.9   0.1   2.5   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012910.1.p1        -          ABC_tran             PF00005.30   7.4e-62  206.1   0.0   1.1e-33  114.9   0.1   2.5   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01011921.1.p1        -          ABC_tran             PF00005.30   8.1e-62  206.0   0.0   7.2e-34  115.5   0.1   2.5   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01024253.1.p1        -          ABC_tran             PF00005.30     8e-60  199.6   0.1   9.9e-31  105.3   0.1   2.7   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01012804.1.p1         -          ABC_tran             PF00005.30   9.2e-60  199.4   0.1   5.8e-32  109.3   0.1   2.6   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010142.1.p1     -          ABC_tran             PF00005.30   6.6e-58  193.3   0.1   2.1e-31  107.5   0.0   2.8   3   0   0   3   3   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010146.1.p1     -          ABC_tran             PF00005.30     7e-58  193.3   0.1   2.1e-31  107.5   0.0   2.8   3   0   0   3   3   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010144.1.p1     -          ABC_tran             PF00005.30   8.5e-58  193.0   0.0     2e-31  107.6   0.0   2.6   2   0   0   2   2   2   2 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010147.1.p1     -          ABC_tran             PF00005.30   8.9e-58  192.9   0.0   2.1e-31  107.5   0.0   2.6   2   0   0   2   2   2   2 -
Boiga_irregularis_GBSH01_id_lcl|GBSH01000763.1_prot_JAG68262.1_1       -          ABC_tran             PF00005.30   1.6e-57  192.1   0.0   8.1e-31  105.6   0.0   2.6   2   0   0   2   2   2   2 -
Crotalus_horridus_GBKC01_id_lcl|GBKC01000886.1_prot_JAG45184.1_1       -          ABC_tran             PF00005.30     2e-57  191.8   0.0   6.5e-31  105.9   0.0   2.7   2   0   0   2   2   2   2 -
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024984.1.p1    -          ABC_tran             PF00005.30     3e-57  191.2   0.0   3.1e-28   97.3   0.0   2.6   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01002482.1.p1        -          ABC_tran             PF00005.30   6.4e-57  190.2   0.0   2.3e-32  110.6   0.0   2.5   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01036677.1.p1         -          ABC_tran             PF00005.30   1.5e-56  188.9   0.0   7.3e-33  112.2   0.0   2.7   2   0   0   2   2   2   2 -
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000372.1.p1 -          ABC_tran             PF00005.30   2.9e-56  188.0   0.2   1.3e-31  108.2   0.3   2.7   2   0   0   2   2   2   2 -
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01012576.1.p1    -          ABC_tran             PF00005.30     3e-55  184.8   0.4   3.5e-30  103.5   0.0   2.7   2   0   0   2   2   2   2 -
Crotalus_horridus_GBKC01_id_lcl|GBKC01002230.1_prot_JAG43840.1_1       -          ABC_tran             PF00005.30   3.6e-55  184.5   0.1   2.5e-30  104.0   0.0   2.5   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01008410.1.p1        -          ABC_tran             PF00005.30   3.7e-55  184.4   0.0   1.9e-30  104.4   0.0   2.6   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01007729.1.p1        -          ABC_tran             PF00005.30   4.9e-55  184.0   0.0   1.5e-30  104.8   0.0   2.6   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01045578.1.p1         -          ABC_tran             PF00005.30     2e-54  182.1   0.9   1.4e-29  101.6   0.0   3.1   3   0   0   3   3   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01032227.1.p1        -          ABC_tran             PF00005.30   7.3e-54  180.3   0.0   7.2e-31  105.8   0.0   2.6   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01008709.1.p1        -          ABC_tran             PF00005.30   8.3e-54  180.1   0.2   2.9e-29  100.6   0.0   2.8   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01021603.1.p1        -          ABC_tran             PF00005.30   1.7e-53  179.0   0.0   1.6e-29  101.4   0.0   2.7   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01005886.1.p1        -          ABC_tran             PF00005.30   1.9e-53  178.9   0.0   2.4e-29  100.8   0.0   2.7   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042120.1.p1         -          ABC_tran             PF00005.30     5e-53  177.5   1.3     4e-28   96.9   0.0   2.9   3   0   0   3   3   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042119.1.p1         -          ABC_tran             PF00005.30     5e-53  177.5   1.3     4e-28   96.9   0.0   2.9   3   0   0   3   3   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01039412.1.p1     -          ABC_tran             PF00005.30   7.3e-53  177.0   0.0   6.3e-31  106.0   0.0   3.1   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043098.1.p1     -          ABC_tran             PF00005.30     9e-53  176.7   0.0   1.6e-28   98.2   0.0   2.5   2   0   0   2   2   2   2 -
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01028373.1.p1        -          ABC_tran             PF00005.30     9e-53  176.7   0.0   8.8e-27   92.5   0.0   2.6   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01013750.1.p1        -          ABC_tran             PF00005.30   1.1e-52  176.4   0.1   1.4e-28   98.4   0.0   3.0   3   0   0   3   3   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066945.1.p1     -          ABC_tran             PF00005.30   3.5e-52  174.8   0.0     3e-28   97.3   0.0   2.4   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01011220.1.p1        -          ABC_tran             PF00005.30   8.1e-52  173.6   0.0   1.8e-28   98.0   0.0   2.5   2   0   0   2   2   2   2 -
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01050374.1.p1 -          AIG1                 PF04548.19   2.7e-71  237.5   0.0   3.1e-71  237.3   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01071674.1.p1  -          AIG1                 PF04548.19   1.6e-69  231.7   0.0   2.1e-69  231.3   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01016251.1.p1  -          AIG1                 PF04548.19   2.1e-69  231.3   0.0   2.7e-69  231.0   0.0   1.1   1   0   0   1   1   1   1 -
Crotalus_horridus_GBKC01_id_lcl|GBKC01001540.1_prot_JAG44530.1_1    -          AIG1                 PF04548.19   5.9e-68  226.6   0.5   7.2e-68  226.3   0.5   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01020923.1.p1  -          AIG1                 PF04548.19   7.9e-67  222.9   0.0   2.6e-66  221.2   0.0   1.6   1   1   1   2   2   2   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01058383.1.p1  -          AIG1                 PF04548.19   1.6e-66  221.9   0.0   9.8e-66  219.3   0.0   2.3   1   1   1   2   2   2   1 -
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01017155.1.p1      -          AIG1                 PF04548.19   1.6e-66  221.9   0.3   1.9e-66  221.7   0.3   1.0   1   0   0   1   1   1   1 -
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01035099.1.p1      -          AIG1                 PF04548.19   3.7e-66  220.7   0.2   4.5e-66  220.4   0.2   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035302.1.p1  -          AIG1                 PF04548.19   9.1e-66  219.4   0.0   9.1e-66  219.4   0.0   2.5   2   2   2   4   4   2   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01060305.1.p1  -          AIG1                 PF04548.19   1.5e-65  218.7   0.0     2e-65  218.4   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070411.1.p1  -          AIG1                 PF04548.19   1.6e-65  218.6   0.0   2.1e-65  218.3   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072819.1.p1  -          AIG1                 PF04548.19   1.8e-65  218.5   0.0   2.3e-65  218.1   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01000371.1.p2  -          AIG1                 PF04548.19     2e-65  218.3   0.1   2.5e-65  218.0   0.1   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01014918.1.p2  -          AIG1                 PF04548.19     2e-65  218.3   0.1   2.5e-65  218.0   0.1   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047723.1.p4  -          AIG1                 PF04548.19   2.1e-65  218.2   0.0   2.7e-65  217.9   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047723.1.p3  -          AIG1                 PF04548.19   2.1e-65  218.2   0.0   2.7e-65  217.9   0.0   1.1   1   0   0   1   1   1   1 -
Boiga_irregularis_GBSH01_id_lcl|GBSH01001226.1_prot_JAG67799.1_1    -          AIG1                 PF04548.19   3.6e-65  217.5   0.0   4.4e-65  217.2   0.0   1.0   1   0   0   1   1   1   1 -
Naja_nigricollis_GIJG01.transdecoder.pep_id_GIJG01000354.1.p2       -          AIG1                 PF04548.19   8.5e-65  216.3   0.1   1.1e-64  216.0   0.1   1.0   1   0   0   1   1   1   1 -
Naja_nubiae_GIJI01.transdecoder.pep_id_GIJI01000383.1.p1            -          AIG1                 PF04548.19   1.9e-64  215.1   0.1   2.3e-64  214.8   0.1   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01063388.1.p2  -          AIG1                 PF04548.19   1.5e-63  212.2   0.0   1.6e-63  212.1   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01012907.1.p2  -          AIG1                 PF04548.19   2.6e-63  211.4   0.0   3.2e-63  211.1   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01045729.1.p2  -          AIG1                 PF04548.19   3.4e-63  211.0   0.0   3.8e-63  210.9   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070870.1.p1  -          AIG1                 PF04548.19   5.6e-63  210.3   0.4   7.7e-63  209.9   0.4   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029412.1.p1  -          AIG1                 PF04548.19   8.1e-63  209.8   0.0   1.1e-62  209.4   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072077.1.p1  -          AIG1                 PF04548.19   9.4e-63  209.6   0.0   1.2e-62  209.2   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01001201.1.p4  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022808.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023047.1.p6  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023612.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01033097.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01033490.1.p3  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01037943.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043652.1.p1  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01045553.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01046870.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066855.1.p3  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01068800.1.p2  -          AIG1                 PF04548.19   1.1e-62  209.3   0.0   1.3e-62  209.2   0.0   1.0   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01048738.1.p1  -          AIG1                 PF04548.19   1.2e-62  209.3   0.0   1.5e-62  208.9   0.0   1.1   1   0   0   1   1   1   1 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059963.1.p1  -          AIG1                 PF04548.19   8.4e-62  206.5   0.0   9.8e-62  206.3   0.0   1.0   1   0   0   1   1   1   1 -
