hit_id	length	cysteine_content	pfam_query_accession	pfam_query_name
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01007470.1.p1	745	0.01	PF00664.26	ABC_membrane
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01007471.1.p1	745	0.01	PF00664.26	ABC_membrane
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043859.1.p1	351	0.01	PF00664.26	ABC_membrane
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003928.1.p1	1585	0.01	PF00664.26	ABC_membrane
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003927.1.p1	1632	0.01	PF00664.26	ABC_membrane
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01005886.1.p1	1381	0.02	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01045578.1.p1	1402	0.01	PF00005.30	ABC_tran
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01002482.1.p1	1341	0.01	PF00005.30	ABC_tran
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01032227.1.p1	1324	0.02	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01036677.1.p1	1340	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042118.1.p1	1105	0.01	PF00664.26	ABC_membrane
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070639.1.p1	625	0.00	PF00664.26	ABC_membrane
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01014882.1.p1	691	0.01	PF00664.26	ABC_membrane
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01011220.1.p1	1236	0.01	PF00664.26	ABC_membrane
Scolopendra_viridis_GGNE01.transdecoder.pep_id_GGNE01000177.1.p1	1443	0.01	PF00664.26	ABC_membrane
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01013750.1.p1	1393	0.01	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01008410.1.p1	1323	0.01	PF00005.30	ABC_tran
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010142.1.p1	1395	0.01	PF00005.30	ABC_tran
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010146.1.p1	1425	0.01	PF00005.30	ABC_tran
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010144.1.p1	1383	0.01	PF00005.30	ABC_tran
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010147.1.p1	1413	0.01	PF00005.30	ABC_tran
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043098.1.p1	945	0.01	PF00005.30	ABC_tran
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01008474.1.p1	669	0.01	PF00664.26	ABC_membrane
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01026896.1.p1	694	0.01	PF00664.26	ABC_membrane
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01005968.1.p1	826	0.01	PF00664.26	ABC_membrane
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01010895.1.p1	1188	0.02	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012910.1.p1	1184	0.02	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01011921.1.p1	1665	0.02	PF00005.30	ABC_tran
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01024253.1.p1	1200	0.02	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01012804.1.p1	1667	0.02	PF00005.30	ABC_tran
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024984.1.p1	2527	0.02	PF00005.30	ABC_tran
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000372.1.p1	1704	0.02	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01007729.1.p1	1334	0.01	PF00005.30	ABC_tran
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01021603.1.p1	1304	0.01	PF00005.30	ABC_tran
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01039412.1.p1	1237	0.01	PF00005.30	ABC_tran
Diadromus_collaris_GAPR01.transdecoder.pep_id_GAPR01028373.1.p1	1272	0.02	PF00005.30	ABC_tran
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01050374.1.p1	224	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01071674.1.p1	281	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01016251.1.p1	329	0.02	PF04548.19	AIG1
Crotalus_horridus_GBKC01_id_lcl|GBKC01001540.1_prot_JAG44530.1_1	226	0.04	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01020923.1.p1	265	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01058383.1.p1	429	0.02	PF04548.19	AIG1
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01017155.1.p1	227	0.03	PF04548.19	AIG1
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01035099.1.p1	283	0.04	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035302.1.p1	416	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01060305.1.p1	348	0.01	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070411.1.p1	357	0.01	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072819.1.p1	368	0.01	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01000371.1.p2	214	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01014918.1.p2	214	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047723.1.p4	394	0.01	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047723.1.p3	394	0.01	PF04548.19	AIG1
Boiga_irregularis_GBSH01_id_lcl|GBSH01001226.1_prot_JAG67799.1_1	219	0.03	PF04548.19	AIG1
Naja_nigricollis_GIJG01.transdecoder.pep_id_GIJG01000354.1.p2	244	0.03	PF04548.19	AIG1
Naja_nubiae_GIJI01.transdecoder.pep_id_GIJI01000383.1.p1	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01063388.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01012907.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01045729.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070870.1.p1	441	0.04	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029412.1.p1	410	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072077.1.p1	434	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01001201.1.p4	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022808.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023047.1.p6	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023612.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01033097.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01033490.1.p3	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01037943.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043652.1.p1	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01045553.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01046870.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066855.1.p3	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01068800.1.p2	227	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01048738.1.p1	476	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059963.1.p1	226	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01064764.1.p1	209	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01064628.1.p2	226	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066429.1.p1	228	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01031237.1.p2	227	0.03	PF04548.19	AIG1
Naja_sumatrana_GIJN01.transdecoder.pep_id_GIJN01002217.1.p1	176	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01023036.1.p2	550	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01037838.1.p1	310	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01067162.1.p2	430	0.03	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01067716.1.p7	173	0.02	PF04548.19	AIG1
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01018381.1.p1	281	0.02	PF04548.19	AIG1
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01001333.1.p1	806	0.01	PF01593.27	Amino_oxidase
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024978.1.p1	427	0.02	PF01593.27	Amino_oxidase
Micrurus_fulvius_GAEP01_id_lcl|GAEP01000716.1_prot_JAB54105.1_1	818	0.03	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01048063.1.p1	572	0.02	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01052562.1.p1	825	0.03	PF01593.27	Amino_oxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01041192.1.p1	478	0.01	PF01593.27	Amino_oxidase
Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000033.1_prot_JAS05456.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000004.1.p1	517	0.01	PF01593.27	Amino_oxidase
Crotalus_durissus_terrificus_HAGK01.transdecoder.pep_id_HAGK01000055.1.p1	517	0.01	PF01593.27	Amino_oxidase
Sistrurus_miliarius_barbouri_GDBJ01_id_lcl|GDBJ01000034.1_prot_JAS05455.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKD01_id_lcl|GBKD01001483.1_prot_JAG46135.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GDBD01_id_lcl|GDBD01000029.1_prot_JAS04869.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKD01_id_lcl|GBKD01001481.1_prot_JAG46137.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GDBD01_id_lcl|GDBD01000027.1_prot_JAS04871.1_1	516	0.01	PF01593.27	Amino_oxidase
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02002343.1_prot_JAV49089.1_1	535	0.02	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKD01_id_lcl|GBKD01001480.1_prot_JAG46138.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GDBD01_id_lcl|GDBD01000026.1_prot_JAS04872.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003052.1_prot_JAA94891.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKC01_id_lcl|GBKC01002416.1_prot_JAG43654.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKC01_id_lcl|GBKC01002417.1_prot_JAG43653.1_1	516	0.01	PF01593.27	Amino_oxidase
Sistrurus_tergeminus_GDBI01_id_lcl|GDBI01000051.1_prot_JAS05316.1_1	518	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKD01_id_lcl|GBKD01001484.1_prot_JAG46134.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GDBD01_id_lcl|GDBD01000030.1_prot_JAS04868.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GBKD01_id_lcl|GBKD01001482.1_prot_JAG46136.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_horridus_GDBD01_id_lcl|GDBD01000028.1_prot_JAS04870.1_1	516	0.01	PF01593.27	Amino_oxidase
Bothrops_atrox_GEDR01_id_lcl|GEDR01000075.1_prot_JAV01887.1_1	502	0.01	PF01593.27	Amino_oxidase
Sistrurus_tergeminus_GDBI01_id_lcl|GDBI01000048.1_prot_JAS05319.1_1	518	0.01	PF01593.27	Amino_oxidase
Sistrurus_tergeminus_GDBI01_id_lcl|GDBI01000049.1_prot_JAS05318.1_1	518	0.01	PF01593.27	Amino_oxidase
Crotalus_simus_GECP01.transdecoder.pep_id_GECP01000009.1.p1	517	0.01	PF01593.27	Amino_oxidase
Sistrurus_tergeminus_GDBI01_id_lcl|GDBI01000050.1_prot_JAS05317.1_1	518	0.01	PF01593.27	Amino_oxidase
Bothrops_atrox_GEDR01_id_lcl|GEDR01000074.1_prot_JAV01888.1_1	502	0.01	PF01593.27	Amino_oxidase
Crotalus_oreganus_helleri_GAKS01_id_lcl|GAKS01000013.1_prot_JAA98003.1_1	515	0.02	PF01593.27	Amino_oxidase
Crotalus_oreganus_helleri_GAKQ01_id_lcl|GAKQ01000013.1_prot_JAA97956.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_oreganus_helleri_GAKR01_id_lcl|GAKR01000012.1_prot_JAA97973.1_1	516	0.01	PF01593.27	Amino_oxidase
Crotalus_oreganus_helleri_GALC01_id_lcl|GALC01000012.1_prot_JAA98030.1_1	516	0.01	PF01593.27	Amino_oxidase
Vipera_aspis_GIJB01.transdecoder.pep_id_GIJB01000019.1.p1	505	0.01	PF01593.27	Amino_oxidase
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01005483.1.p1	503	0.01	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01020960.1.p1	508	0.03	PF01593.27	Amino_oxidase
Agkistrodon_contortrix_GJUG01.transdecoder.pep_id_GJUG01000011.1.p1	516	0.01	PF01593.27	Amino_oxidase
Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02001245.1_prot_JAV50182.1_1	516	0.01	PF01593.27	Amino_oxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003797.1.p1	517	0.03	PF01593.27	Amino_oxidase
Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000031.1_prot_JAS04522.1_1	516	0.01	PF01593.27	Amino_oxidase
Agkistrodon_conanti_GJUI01.transdecoder.pep_id_GJUI01000006.1.p1	516	0.01	PF01593.27	Amino_oxidase
Walterinnesia_aegyptia_GIJO01.transdecoder.pep_id_GIJO01000012.1.p1	517	0.01	PF01593.27	Amino_oxidase
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01001238.1.p1	530	0.02	PF01593.27	Amino_oxidase
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01002489.1.p1	438	0.01	PF01593.27	Amino_oxidase
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000616.1.p1	524	0.02	PF01593.27	Amino_oxidase
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01005702.1.p1	443	0.01	PF01593.27	Amino_oxidase
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000525.1.p1	522	0.02	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035817.1.p1	476	0.02	PF01593.27	Amino_oxidase
Naja_siamensis_GIJL01.transdecoder.pep_id_GIJL01000008.1.p1	515	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043413.1.p1	523	0.02	PF01593.27	Amino_oxidase
Phalotris_mertensi_GEHL01_id_lcl|GEHL01006902.1_prot_JAS03134.1_1	489	0.01	PF01593.27	Amino_oxidase
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000680.1.p1	526	0.02	PF01593.27	Amino_oxidase
Hadrurus_spadix_GFAH01_id_lcl|GFAH01000321.1_prot_JAV48068.1_1	520	0.02	PF01593.27	Amino_oxidase
Aspidelaps_scutatus_GHOC01.transdecoder.pep_id_GHOC01000055.1.p1	443	0.01	PF01593.27	Amino_oxidase
Naja_philippinensis_GIJK01.transdecoder.pep_id_GIJK01000003.1.p1	538	0.01	PF01593.27	Amino_oxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01041194.1.p1	685	0.01	PF01593.27	Amino_oxidase
Denisonia_devisi_GAHC01_id_lcl|GAHC01000009.1_prot_JAA74732.1_1	542	0.01	PF01593.27	Amino_oxidase
Echiopsis_curta_GAHD01_id_lcl|GAHD01000012.1_prot_JAA74761.1_1	518	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01049047.1.p1	457	0.01	PF01593.27	Amino_oxidase
Naja_pallida_GIJJ01.transdecoder.pep_id_GIJJ01000005.1.p1	504	0.01	PF01593.27	Amino_oxidase
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01010467.1.p1	468	0.01	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01023022.1.p1	522	0.01	PF01593.27	Amino_oxidase
Naja_nigricollis_GIJG01.transdecoder.pep_id_GIJG01000008.1.p1	503	0.02	PF01593.27	Amino_oxidase
Naja_atra_GIJE01.transdecoder.pep_id_GIJE01000002.1.p1	536	0.01	PF01593.27	Amino_oxidase
Naja_haje_GHRV01.transdecoder.pep_id_GHRV01000087.1.p1	443	0.01	PF01593.27	Amino_oxidase
Naja_nivea_GIJH01.transdecoder.pep_id_GIJH01000008.1.p1	443	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01030403.1.p1	532	0.02	PF01593.27	Amino_oxidase
Micrurus_tener_GDBH01_id_lcl|GDBH01000081.1_prot_JAS05152.1_1	517	0.01	PF01593.27	Amino_oxidase
Micrurus_tener_GDBH01_id_lcl|GDBH01000080.1_prot_JAS05153.1_1	517	0.01	PF01593.27	Amino_oxidase
Micrurus_fulvius_GAEP01_id_lcl|GAEP01001993.1_prot_JAB52828.1_1	516	0.01	PF01593.27	Amino_oxidase
Micrurus_fulvius_GAEP01_id_lcl|GAEP01001991.1_prot_JAB52830.1_1	516	0.01	PF01593.27	Amino_oxidase
Micrurus_fulvius_GAEP01_id_lcl|GAEP01001992.1_prot_JAB52829.1_1	516	0.01	PF01593.27	Amino_oxidase
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01014675.1.p1	521	0.02	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01010646.1.p1	507	0.00	PF01593.27	Amino_oxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01028379.1.p1	495	0.00	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01002367.1.p1	522	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01049010.1.p1	492	0.02	PF01593.27	Amino_oxidase
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01006219.1.p1	373	0.01	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01002840.1.p1	528	0.00	PF01593.27	Amino_oxidase
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01045173.1.p1	370	0.01	PF01593.27	Amino_oxidase
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01005142.1.p1	261	0.01	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01006142.1.p1	482	0.01	PF01593.27	Amino_oxidase
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01002013.1.p1	526	0.01	PF01593.27	Amino_oxidase
Cotesia_vestalis_GAQF01.transdecoder.pep_id_GAQF01018214.1.p1	448	0.01	PF01593.27	Amino_oxidase
Urolepis_rufipes_GFPA01.transdecoder.pep_id_GFPA01000034.1.p1	507	0.01	PF01593.27	Amino_oxidase
Naja_sumatrana_GIJN01.transdecoder.pep_id_GIJN01000272.1.p1	459	0.02	PF01593.27	Amino_oxidase
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01032466.1.p1	234	0.03	PF01593.27	Amino_oxidase
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01002304.1.p1	490	0.00	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01016400.1.p1	315	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047103.1.p1	333	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01048861.1.p1	373	0.01	PF01593.27	Amino_oxidase
Hemachatus_haemachatus_GIJC01.transdecoder.pep_id_GIJC01000179.1.p1	473	0.02	PF01593.27	Amino_oxidase
Dendroaspis_jamesoni_jamesoni_GHPA01.transdecoder.pep_id_GHPA01000684.1.p1	254	0.02	PF01593.27	Amino_oxidase
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01002443.1.p1	493	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01067878.1.p1	439	0.02	PF01593.27	Amino_oxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01032866.1.p1	442	0.01	PF01593.27	Amino_oxidase
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01005560.1.p1	308	0.01	PF01593.27	Amino_oxidase
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01037619.1.p1	811	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01025497.1.p1	1758	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01025499.1.p1	2501	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028416.1.p1	2376	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01025498.1.p1	2540	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028410.1.p1	2410	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028411.1.p1	2560	0.01	PF13857.9	Ank_5
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028415.1.p1	2577	0.01	PF13857.9	Ank_5
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01017959.1.p1	1737	0.02	PF13857.9	Ank_5
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01017377.1.p1	1693	0.01	PF13857.9	Ank_5
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01044062.1.p1	1733	0.01	PF13857.9	Ank_5
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010762.1.p1	1623	0.01	PF13857.9	Ank_5
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010764.1.p1	1623	0.01	PF13857.9	Ank_5
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010767.1.p1	1623	0.01	PF13857.9	Ank_5
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010769.1.p1	1623	0.01	PF13857.9	Ank_5
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010772.1.p1	1623	0.01	PF13857.9	Ank_5
