"","protein_id","length","cysteine_content","accession_hit","sequence_identity","alignment_length","evalue","bit_score","accession_hit_description","Ref_L","Ratio","Ref_length","Plot","nb_hits","Outlier"
"31","Boiga_irregularis_GBSH01_id_lcl|GBSH01000280.1_prot_JAG68744.1_1",749,0.0253671562082777,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.375,56,"Plot 2",178,"Yes"
"32","Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1",750,0.024,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.3928571428571,56,"Plot 2",178,"Yes"
"33","Crotalus_horridus_GBKD01_id_lcl|GBKD01000125.1_prot_JAG47493.1_1",750,0.024,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.3928571428571,56,"Plot 2",178,"Yes"
"34","Crotalus_horridus_GBKC01_id_lcl|GBKC01000209.1_prot_JAG45861.1_1",750,0.024,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.3928571428571,56,"Plot 2",178,"Yes"
"35","Crotalus_horridus_GAAZ01_id_lcl|GAAZ01000150.1_prot_JAA97793.1_1",750,0.024,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.3928571428571,56,"Plot 2",178,"Yes"
"36","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01053914.1.p1",758,0.0237467018469657,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.5357142857143,56,"Plot 2",178,"Yes"
"37","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1",758,0.0237467018469657,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.5357142857143,56,"Plot 2",178,"Yes"
"38","Naja_nubiae_GIJI01.transdecoder.pep_id_GIJI01000443.1.p1",272,0.0661764705882353,"P0DV04",0.636,52,5.895e-14,68,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,4.85714285714286,56,"Plot 2",178,"Yes"
"39","Dendroaspis_polylepis_GHPD01.transdecoder.pep_id_GHPD01000934.1.p1",224,0.0625,"P0DV04",0.636,52,5.895e-14,68,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,4,56,"Plot 2",178,"Yes"
"40","Naja_kaouthia_GHRW01.transdecoder.pep_id_GHRW01000565.1.p1",215,0.0651162790697674,"P0DV04",0.636,52,5.895e-14,68,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,3.83928571428571,56,"Plot 2",178,"Yes"
"41","MXU99998.1",541,0.0646950092421442,"P0DV04",0.579,54,3.331e-12,63,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,9.66071428571429,56,"Plot 2",178,"Yes"
"42","MXV00568.1",751,0.0545938748335553,"P0DV04",0.579,54,3.331e-12,63,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,13.4107142857143,56,"Plot 2",178,"Yes"
"43","JAA67204.1",210,0.0666666666666667,"P0DV04",0.595,55,2.959e-13,66,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,3.75,56,"Plot 2",178,"Yes"
"44","MDC7209010.1",312,0.0833333333333333,"P0DV04",0.623,54,2.632e-14,69,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,5.57142857142857,56,"Plot 2",178,"Yes"
"45","JAR90448.1",234,0.0641025641025641,"P0DV04",0.592,54,6.631e-13,65,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,4.17857142857143,56,"Plot 2",178,"Yes"
"46","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01030193.1.p1",327,0.0122324159021407,"P0DV04",0.8,36,7.467e-12,62,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,5.83928571428571,56,"Plot 2",178,"Yes"
"47","Trove_AA_191756",379,0.0554089709762533,"P0DV04",0.735,33,2.416e-08,52,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,6.76785714285714,56,"Plot 2",178,"Yes"
"48","JAC27288.1",230,0.0739130434782609,"P0DV04",0.475,55,5.426e-08,51,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,4.10714285714286,56,"Plot 2",178,"Yes"
"49","MDC7210379.1",104,0.0673076923076923,"Q4PMX3",0.66,78,8.417e-27,105,"Ixodegrin-like peptide (Platelet aggregation inhibitor) (PAI) (Tick anti-thrombosis peptide)",60,1.73333333333333,60,"Plot 2",19,"Yes"
"50","MDC7210375.1",121,0.0661157024793388,"Q4PMX3",0.538,95,4.684e-25,100,"Ixodegrin-like peptide (Platelet aggregation inhibitor) (PAI) (Tick anti-thrombosis peptide)",60,2.01666666666667,60,"Plot 2",19,"Yes"
"51","JAA73410.1",91,0.0659340659340659,"Q4PMX3",0.474,63,2.306e-10,58,"Ixodegrin-like peptide (Platelet aggregation inhibitor) (PAI) (Tick anti-thrombosis peptide)",60,1.51666666666667,60,"Plot 2",19,"Yes"
"52","MXU93678.1",150,0.0466666666666667,"Q4PMX3",0.39,68,3.336e-07,49,"Ixodegrin-like peptide (Platelet aggregation inhibitor) (PAI) (Tick anti-thrombosis peptide)",60,2.5,60,"Plot 2",19,"Yes"
"53","MOY44623.1",137,0.0656934306569343,"P0DQT8",0.633,38,1.559e-07,50,"Defensin BmKDfsin2",61,2.24590163934426,61,"Plot 2",55,"Yes"
"54","JAP87934.1",117,0.0769230769230769,"P0DQT8",0.74,33,3.092e-08,52,"Defensin BmKDfsin2",61,1.91803278688525,61,"Plot 2",55,"Yes"
"55","EEC08933.1",101,0.0594059405940594,"P0DQT8",0.691,38,2.735e-09,55,"Defensin BmKDfsin2",61,1.65573770491803,61,"Plot 2",55,"Yes"
"56","JAC22990.1",94,0.0638297872340425,"P0DQT8",0.709,38,5.434e-10,57,"Defensin BmKDfsin2",61,1.54098360655738,61,"Plot 2",55,"Yes"
"57","NOV52194.1",99,0.0909090909090909,"P0DQT8",0.412,71,6.138e-09,54,"Defensin BmKDfsin2",61,1.62295081967213,61,"Plot 2",55,"Yes"
"58","JAP80811.1",108,0.0648148148148148,"P0DQT8",0.58,34,0.0002288,41,"Defensin BmKDfsin2",61,1.77049180327869,61,"Plot 2",55,"Yes"
"59","MAA12009.1",116,0.0517241379310345,"P0DQT8",0.58,34,0.0002288,41,"Defensin BmKDfsin2",61,1.9016393442623,61,"Plot 2",55,"Yes"
"60","MAA12011.1",133,0.0526315789473684,"P0DQT8",0.575,34,0.0002288,41,"Defensin BmKDfsin2",61,2.18032786885246,61,"Plot 2",55,"Yes"
"61","JAP80812.1",150,0.0466666666666667,"P0DQT8",0.58,34,0.0002288,41,"Defensin BmKDfsin2",61,2.45901639344262,61,"Plot 2",55,"Yes"
"62","Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01007463.1.p1",389,0.167095115681234,"P0DM56",0.582,47,1.28e-09,56,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,6.2741935483871,62,"Plot 2",60,"Yes"
"63","Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01004347.1.p1",265,0.090566037735849,"P0DM56",0.521,53,2.872e-09,55,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,4.2741935483871,62,"Plot 2",60,"Yes"
"64","Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01016574.1.p1",216,0.0740740740740741,"P0DM56",0.51,54,2.872e-09,55,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,3.48387096774194,62,"Plot 2",60,"Yes"
"65","MAA16422.1",2084,0.0820537428023033,"P0DM56",0.524,47,3.675e-07,49,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,33.6129032258064,62,"Plot 2",60,"Yes"
"66","JAP78161.1",4008,0.0800898203592814,"P0DM56",0.524,47,3.675e-07,49,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,64.6451612903226,62,"Plot 2",60,"Yes"
"67","KAH8009570.1",1767,0.0831918505942275,"P0DM56",0.505,47,8.256e-07,48,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,28.5,62,"Plot 2",60,"Yes"
"68","Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01006690.1.p1",311,0.128617363344051,"P0DM56",0.51,57,5.707e-10,57,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,5.01612903225806,62,"Plot 2",60,"Yes"
"69","GBXQ01007370.1.p1",1318,0.0971168437025797,"P0DM56",0.526,48,7.288e-08,51,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,21.258064516129,62,"Plot 2",60,"Yes"
"70","MBY06832.1",1037,0.10221793635487,"P0DM56",0.522,48,1.636e-07,50,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,16.7258064516129,62,"Plot 2",60,"Yes"
"71","Trove_AA_4586",300,0.08,"P0DM56",0.429,53,2.107e-05,44,"Venom peptide SjAPI-2 (Ascaris-type protease inhibitor-2)",62,4.83870967741935,62,"Plot 2",60,"Yes"
"72","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000044.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"73","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000087.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"74","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000008.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"75","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000059.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"76","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000072.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"77","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000074.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"78","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000080.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"79","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000002.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"80","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000084.1.p1",121,0.0661157024793388,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"81","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000056.1.p2",121,0.0661157024793388,"P0C2V2",0.637,64,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.86153846153846,65,"Plot 3",14,"Yes"
"82","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000103.1.p1",124,0.0645161290322581,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,1.90769230769231,65,"Plot 3",14,"Yes"
"83","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000027.1.p1",157,0.0509554140127388,"P0C2V2",0.61,60,7.339e-16,74,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,2.41538461538462,65,"Plot 3",14,"Yes"
"84","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000010.1.p1",138,0.0579710144927536,"P0C2V2",0.669,60,5.229e-19,83,"U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)",65,2.12307692307692,65,"Plot 3",14,"Yes"
"85","Centruroides_hentzi_GFWZ01.transdecoder.pep_id_GFWZ01000040.1.p1",108,0.00925925925925925,"E4VP50",0.604,73,5.104e-21,89,"Venom antimicrobial peptide-9 (Meucin-18)",69,1.56521739130435,69,"Plot 3",5,"Yes"
"86","Scolopendra_morsitans_GHKQ01.transdecoder.pep_id_GHKQ01000536.1.p1",133,0.0075187969924812,"P0DQF3",0.525,61,6.314e-12,63,"U-scoloptoxin(21)-Sm2a (U-SLPTX(21)-Sm2a)",69,1.92753623188406,69,"Plot 3",5,"Yes"
"87","MAA11594.1",195,0.0461538461538461,"P0DJ47",0.549,55,3.322e-11,61,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,2.78571428571429,70,"Plot 4",73,"Yes"
"88","Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01005953.1.p1",779,0.0513478818998716,"P0DJ47",0.548,62,1.177e-13,68,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,11.1285714285714,70,"Plot 4",73,"Yes"
"89","MCL6786443.1",647,0.0370942812982998,"P0DJ47",0.528,55,3.736e-10,58,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,9.24285714285714,70,"Plot 4",73,"Yes"
"90","MCL6765917.1",220,0.0636363636363636,"P0DJ47",0.592,55,5.898e-13,66,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.14285714285714,70,"Plot 4",73,"Yes"
"91","KAH7973337.1",208,0.0288461538461538,"P0DJ47",0.554,51,8.373e-10,57,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,2.97142857142857,70,"Plot 4",73,"Yes"
"92","MCL6786669.1",278,0.0287769784172662,"P0DJ47",0.523,52,9.431e-09,54,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.97142857142857,70,"Plot 4",73,"Yes"
"93","MCL6772834.1",261,0.0306513409961686,"P0DJ47",0.529,52,4.207e-09,55,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.72857142857143,70,"Plot 4",73,"Yes"
"94","MCL6790489.1",275,0.0290909090909091,"P0DJ47",0.529,52,4.207e-09,55,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.92857142857143,70,"Plot 4",73,"Yes"
"95","JAP76943.1",229,0.0611353711790393,"P0DJ47",0.487,52,2.386e-07,50,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.27142857142857,70,"Plot 4",73,"Yes"
"96","MAA11633.1",229,0.0611353711790393,"P0DJ47",0.474,52,1.201e-06,48,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.27142857142857,70,"Plot 4",73,"Yes"
"97","KAH7954250.1",253,0.0553359683794466,"P0DJ47",0.461,51,6.049e-06,46,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,3.61428571428571,70,"Plot 4",73,"Yes"
"98","KAH6924023.1",514,0.0350194552529183,"P0DJ47",0.464,54,5.352e-07,49,"Kunitz-type serine protease inhibitor BmKTT-3 (Delta-KTx 1.2)",70,7.34285714285714,70,"Plot 4",73,"Yes"
"99","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000011.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"100","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000052.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"101","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000113.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"102","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000029.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"103","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000001.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"104","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000037.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"105","Hadronyche_infensa_HACE01.transdecoder.pep_id_HACE01000043.1.p1",116,0.0689655172413793,"Q75WG5",0.601,69,6.69e-19,83,"Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)",70,1.65714285714286,70,"Plot 4",7,"Yes"
"106","MCL6768901.1",166,0.0903614457831325,"P0C5F3",0.363,68,3.484e-05,44,"Venom peptide La1",73,2.27397260273973,73,"Plot 4",5,"Yes"
"107","KAH8026054.1",120,0,"P0CJ11",0.399,55,0.0003938,41,"Venom protein 55.1",73,1.64383561643836,73,"Plot 5",7,"Yes"
"108","Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001426.1.p1",217,0.0506912442396313,"P0DM53",0.904,84,6.002e-46,161,"C-type lectin galatrox (CTL)",77,2.81818181818182,77,"Plot 5",39,"Yes"
"109","Naja_naja_GHRX01.transdecoder.pep_id_GHRX01000496.1.p1",213,0.0610328638497653,"P0DM53",0.659,80,3.942e-27,107,"C-type lectin galatrox (CTL)",77,2.76623376623377,77,"Plot 5",39,"Yes"
