Species,Cat,protein_id,toxin_hit,accession_hit_description,Toxin_hit_cat
Agkistrodon contortrix,Snake,Agkistrodon_contortrix_GJUG01.transdecoder.pep_id_GJUG01000003.1.p1,P0DJG3,Thrombin-like enzyme TLBan (SVTLE TLBan) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP),Serine protease
Agkistrodon contortrix,Snake,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Aspidelaps scutatus,Snake,Aspidelaps_scutatus_GHOC01.transdecoder.pep_id_GHOC01000780.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Boiga irregularis,Snake,Boiga_irregularis_GBSH01_id_lcl|GBSH01000287.1_prot_JAG68737.1_1,P85031,Techylectin-like protein,Lectin
Boiga irregularis,Snake,Boiga_irregularis_GBSH01_id_lcl|GBSH01000088.1_prot_JAG68936.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Boiga irregularis,Snake,Boiga_irregularis_GDBA01_id_lcl|GDBA01000088.1_prot_JAS04573.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Boiga irregularis,Snake,Boiga_irregularis_GBSH01_id_lcl|GBSH01000280.1_prot_JAG68744.1_1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Bothrops atrox,Snake,Bothrops_atrox_GEDR01_id_lcl|GEDR01000079.1_prot_JAV01883.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops atrox,Snake,Bothrops_atrox_GEDR01_id_lcl|GEDR01000082.1_prot_JAV01880.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops atrox,Snake,Bothrops_atrox_GEDR01_id_lcl|GEDR01000073.1_prot_JAV01889.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001426.1.p1,P0DM53,C-type lectin galatrox (CTL),C-type Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01042806.1.p1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001005.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003276.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001395.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01004807.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003256.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01002983.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003156.1.p2,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001556.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01001427.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01002061.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003785.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003855.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01002175.1.p1,P0DJL4,Snaclec VP12 subunit A,Lectin
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003197.1.p1,P31989,Zinc metalloproteinase/disintegrin [Cleaved into: Snake venom metalloproteinase (SVMP) (EC 3.4.24.-); Disintegrin jararacin (Platelet aggregation activation inhibitor); Disintegrin jararacin-AGEEC; Disintegrin jararacin-GEEC; Disintegrin jararacin-EC],Metalloproteinase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01044030.1.p1,P0DPS4,Basic phospholipase A2 Cc2-PLA2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01004899.1.p1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003432.1.p1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01003513.1.p1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Bothrops jararaca,Snake,Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01015998.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01069657.1.p1,A5X2W8,Three-finger toxin 3,3FTx
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01025083.1.p2,A7X3W6,C-type lectin lectoxin-Enh2 (CTL),C-type Lectin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01062113.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01035171.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059428.1.p1,P0DPU1,Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP),Cysteine rich protein
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01046586.1.p1,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8),Cysteine rich protein
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01020754.1.p1,P62390,Cytotoxin 11 (Toxin CM-13a),Cytotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029218.1.p1,P62390,Cytotoxin 11 (Toxin CM-13a),Cytotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01058539.1.p1,P0DL42,Snake venom vascular endothelial growth factor toxin VR-1' (svVEGF) (VEGF-F),Endothelial growth factor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01059841.1.p1,Q8AY75,Calglandulin,Endothelial growth factor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01055529.1.p1,Q8AY75,Calglandulin,Endothelial growth factor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01013845.1.p1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01047221.1.p1,P85031,Techylectin-like protein,Lectin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029031.1.p1,P0DM62,Astacin-like metalloprotease toxin 5 (EC 3.4.24.-) (Loxosceles astacin-like protease 5) (LALP5),Metalloproteinase
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070269.1.p1,P86092,Zinc metalloproteinase leucurolysin-B (Leuc-B) (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01019264.1.p1,P86092,Zinc metalloproteinase leucurolysin-B (Leuc-B) (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Metalloproteinase
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01053043.1.p1,D9IX98,Natriuretic peptide Oh-NP,Natriuretic peptide
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01049330.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01050072.1.p2,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01061903.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066927.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01020594.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01043527.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01036847.1.p1,F8J2B3,Long neurotoxin 13 (LNTX-13),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01052447.1.p1,P0DKM9,Turripeptide OL11-like,Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01046687.1.p1,Q9PTA2,Beta-bungarotoxin B chain-like (BL1),Neurotoxin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01064063.1.p1,P83234,Ohanin,Ohanin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01058633.1.p1,P83234,Ohanin,Ohanin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01053343.1.p1,P83234,Ohanin,Ohanin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01061048.1.p1,P83234,Ohanin,Ohanin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01067561.1.p1,P83234,Ohanin,Ohanin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01046420.1.p2,P0CJ14,Venom protein 302,Other
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01022817.1.p1,P0CJ14,Venom protein 302,Other
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01040436.1.p1,P0CJ14,Venom protein 302,Other
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01042455.1.p2,P0CJ14,Venom protein 302,Other
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01015097.1.p1,Q9W7J4,Acidic phospholipase A2 1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Pt-PLA1),Phospholipase
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01025316.1.p1,I6VXS1,Anticoagulant protein rhipilin-2,Rhipilin
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01034041.1.p1,P0C8M2,Serine proteinase-like BMK-CBP,Serine protease
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066355.1.p1,P0C8M2,Serine proteinase-like BMK-CBP,Serine protease
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01015670.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01041205.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072144.1.p1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01018067.1.p1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01053914.1.p1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Bungarus multicinctus,Snake,Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Centruroides hentzi,Snake,Centruroides_hentzi_GFWZ01.transdecoder.pep_id_GFWZ01000084.1.p1,B1P1J3,Cystatin-1 (Cystatin JZTX-75),Cysteine protease inhibitor
Crotalus durissus,Snake,Crotalus_durissus_terrificus_HAGK01.transdecoder.pep_id_HAGK01000018.1.p1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002414.1_prot_JAG43656.1_1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001545.1_prot_JAG46073.1_1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000091.1_prot_JAS04807.1_1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001496.1_prot_JAG46122.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000042.1_prot_JAS04856.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001492.1_prot_JAG46126.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001493.1_prot_JAG46125.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001494.1_prot_JAG46124.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000038.1_prot_JAS04860.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001497.1_prot_JAG46121.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000039.1_prot_JAS04859.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000040.1_prot_JAS04858.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000043.1_prot_JAS04855.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01001495.1_prot_JAG46123.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GDBD01_id_lcl|GDBD01000041.1_prot_JAS04857.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002425.1_prot_JAG43645.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002427.1_prot_JAG43643.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002424.1_prot_JAG43646.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003063.1_prot_JAA94880.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002426.1_prot_JAG43644.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003060.1_prot_JAA94883.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003061.1_prot_JAA94882.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003064.1_prot_JAA94879.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002431.1_prot_JAG43639.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002432.1_prot_JAG43638.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002433.1_prot_JAG43637.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01002434.1_prot_JAG43636.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01000563.1_prot_JAA97380.1_1,P0C8M2,Serine proteinase-like BMK-CBP,Serine protease
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01000800.1_prot_JAG45270.1_1,P0C8M2,Serine proteinase-like BMK-CBP,Serine protease
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01001831.1_prot_JAG44239.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01003051.1_prot_JAA94892.1_1,B2BS84,Putative Kunitz-type serine protease inhibitor,Serine protease inhibitor
Crotalus horridus,Snake,Crotalus_horridus_GBKD01_id_lcl|GBKD01000125.1_prot_JAG47493.1_1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Crotalus horridus,Snake,Crotalus_horridus_GBKC01_id_lcl|GBKC01000209.1_prot_JAG45861.1_1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Crotalus horridus,Snake,Crotalus_horridus_GAAZ01_id_lcl|GAAZ01000150.1_prot_JAA97793.1_1,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19),Serine protease inhibitor
Crotalus oreganus,Snake,Crotalus_oreganus_helleri_GAKR01_id_lcl|GAKR01000013.1_prot_JAA97972.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus oreganus,Snake,Crotalus_oreganus_helleri_GAKQ01_id_lcl|GAKQ01000024.1_prot_JAA97945.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus oreganus,Snake,Crotalus_oreganus_helleri_GAKS01_id_lcl|GAKS01000025.1_prot_JAA97991.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Crotalus oreganus,Snake,Crotalus_oreganus_helleri_GAKR01_id_lcl|GAKR01000014.1_prot_JAA97971.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
