Clust_Ref,Clust_Seq,Seq_o,Rep_nb,Species,Clust_o,Clust_od
Aam-471922_rep9,Aam-471922_rep6,Aam-471922,6,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep7,Aam-471922,7,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep8,Aam-471922,8,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep9,Aam-471922,9,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01004899.1.p1_rep10,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000064.1_prot_JAS04489.1_1_rep23,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000064.1_prot_JAS04489.1_1,23,Agkistrodon_conanti,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,0,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1_rep18,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,18,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1_rep2,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,2,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1_rep23,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,23,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,4,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1_rep6,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02000140.1_prot_JAV51273.1_1,6,Agkistrodon_contortrix,P0DV04,PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,0,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep10,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,10,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep11,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,11,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,13,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep14,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,14,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep15,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,15,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep17,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,17,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep19,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,19,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep2,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,2,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep6,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,6,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep8,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,8,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1_rep9,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023070.1.p1,9,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,0,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep10,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,10,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep11,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,11,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,13,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep14,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,14,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep15,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,15,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep17,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,17,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep19,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,19,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep2,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,2,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep6,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,6,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep8,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,8,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep9,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1,9,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,0,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep10,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,10,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep11,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,11,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,13,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep14,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,14,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep15,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,15,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep17,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,17,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep19,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,19,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep2,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,2,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep6,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,6,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep8,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,8,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023071.1.p1_rep13,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1_rep9,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01023072.1.p1,9,Ampulex_compressa,Q2XXQ7,Cysteine-rich venom protein VAR8 (CRVP) (Cysteine-rich secretory protein VAR8) (CRISP-VAR8)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,0,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1_rep2,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,2,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1_rep3,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,3,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1_rep4,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,4,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1_rep5,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,5,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1_rep7,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024701.1.p1,7,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1_rep19,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1,0,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1_rep19,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1_rep14,Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01025719.1.p1,14,Ampulex_compressa,B5U2W0,Venom serine protease Bi-VSP (EC 3.4.21.-) (Thrombin-like enzyme)
